method,method_label,metric,rate,median,q10,q90
simclr_z,InfoNCE critic space z,coarse_retention,1.4491219380326228,0.13125628277033768,0.13076619789865362,0.13167220935888
simclr_z,InfoNCE critic space z,coarse_retention,1.480624588859419,0.13499431478271873,0.13449848280544796,0.13541833753995894
simclr_z,InfoNCE critic space z,coarse_retention,1.5121272396862149,0.13873234679509974,0.13823076771224227,0.13916446572103783
simclr_z,InfoNCE critic space z,coarse_retention,1.543629890513011,0.14247037880748076,0.1419630526190366,0.14291059390211674
simclr_z,InfoNCE critic space z,coarse_retention,1.5751325413398072,0.1462084108198618,0.14569533752583091,0.14665672208319566
simclr_z,InfoNCE critic space z,coarse_retention,1.6066351921666033,0.14994644283224284,0.14942762243262528,0.15040285026427458
simclr_z,InfoNCE critic space z,coarse_retention,1.6381378429933995,0.1536844748446239,0.15315990733941962,0.15414897844535352
simclr_z,InfoNCE critic space z,coarse_retention,1.6696404938201956,0.15742250685700493,0.15689219224621395,0.15789510662643247
simclr_z,InfoNCE critic space z,coarse_retention,1.7011431446469918,0.16116053886938594,0.16062447715300826,0.16164123480751136
simclr_z,InfoNCE critic space z,coarse_retention,1.732645795473788,0.164898570881767,0.1643567620598026,0.1653873629885903
simclr_z,InfoNCE critic space z,coarse_retention,1.764148446300584,0.168636602894148,0.16808904696659693,0.1691334911696692
simclr_z,InfoNCE critic space z,coarse_retention,1.7956510971273802,0.17237463490652905,0.17182133187339127,0.17287961935074814
simclr_z,InfoNCE critic space z,coarse_retention,1.8271537479541764,0.1761126669189101,0.1755536167801856,0.17662574753182705
simclr_z,InfoNCE critic space z,coarse_retention,1.8586563987809726,0.17985069893129113,0.17928590168697994,0.18037187571290597
simclr_z,InfoNCE critic space z,coarse_retention,1.8901590496077687,0.18358873094367215,0.18301818659377425,0.1841180038939849
simclr_z,InfoNCE critic space z,coarse_retention,1.9216617004345649,0.1873267629560532,0.1867504715005686,0.18786413207506383
simclr_z,InfoNCE critic space z,coarse_retention,1.953164351261361,0.1910647949684342,0.19048275640736295,0.19161026025614275
simclr_z,InfoNCE critic space z,coarse_retention,1.9846670020881572,0.19480282698081525,0.19421504131415726,0.19535638843722167
simclr_z,InfoNCE critic space z,coarse_retention,2.0161696529149533,0.1985408589931963,0.1979473262209516,0.1991025166183006
simclr_z,InfoNCE critic space z,coarse_retention,2.0476723037417495,0.20227889100557733,0.2016796111277459,0.20284864479937953
simclr_z,InfoNCE critic space z,coarse_retention,2.0791749545685456,0.20601692301795835,0.20541189603454027,0.20659477298045845
simclr_z,InfoNCE critic space z,coarse_retention,2.1106776053953418,0.2097549550303394,0.2091441809413346,0.21034090116153736
simclr_z,InfoNCE critic space z,coarse_retention,2.142180256222138,0.21349298704272043,0.21287646584812894,0.21408702934261628
simclr_z,InfoNCE critic space z,coarse_retention,2.173682907048934,0.21723101905510145,0.21660875075492325,0.2178331575236952
simclr_z,InfoNCE critic space z,coarse_retention,2.2051855578757302,0.2209690510674825,0.2203410356617176,0.22157928570477414
simclr_z,InfoNCE critic space z,coarse_retention,2.2366882087025264,0.22470708307986353,0.22407332056851195,0.2253254138858531
simclr_z,InfoNCE critic space z,coarse_retention,2.2681908595293225,0.22844511509224455,0.22780560547530626,0.229071542066932
simclr_z,InfoNCE critic space z,coarse_retention,2.2996935103561187,0.2321831471046256,0.2315378903821006,0.23281767024801092
simclr_z,InfoNCE critic space z,coarse_retention,2.331196161182915,0.23592117911700664,0.2352701752888949,0.23656379842908984
simclr_z,InfoNCE critic space z,coarse_retention,2.362698812009711,0.23965921112938765,0.23900246019568924,0.24030992661016876
simclr_z,InfoNCE critic space z,coarse_retention,2.394201462836507,0.2433972431417687,0.2427347451024836,0.24405605479124767
simclr_z,InfoNCE critic space z,coarse_retention,2.4257041136633033,0.24713527515414974,0.24646703000927794,0.2478021829723266
simclr_z,InfoNCE critic space z,coarse_retention,2.4572067644900994,0.2508733071665308,0.2501993149160723,0.25154831115340553
simclr_z,InfoNCE critic space z,coarse_retention,2.4887094153168956,0.25461133917891177,0.25393159982286656,0.2552944393344845
simclr_z,InfoNCE critic space z,coarse_retention,2.5202120661436918,0.25834937119129286,0.2576638847296609,0.25904056751556337
simclr_z,InfoNCE critic space z,coarse_retention,2.551714716970488,0.26208740320367385,0.2613961696364553,0.26278669569664226
simclr_z,InfoNCE critic space z,coarse_retention,2.583217367797284,0.2658254352160549,0.26512845454324957,0.2665328238777212
simclr_z,InfoNCE critic space z,coarse_retention,2.61472001862408,0.26956346722843594,0.2688607394500439,0.27027895205880015
simclr_z,InfoNCE critic space z,coarse_retention,2.6462226694508764,0.273301499240817,0.27259302435683824,0.2740250802398791
simclr_z,InfoNCE critic space z,coarse_retention,2.6777253202776725,0.277039531253198,0.2763253092636326,0.277771208420958
simclr_z,InfoNCE critic space z,coarse_retention,2.7092279711044687,0.280777563265579,0.2800575941704269,0.2815173366020369
simclr_z,InfoNCE critic space z,coarse_retention,2.740730621931265,0.2845155952779601,0.28378987907722125,0.28526346478311587
simclr_z,InfoNCE critic space z,coarse_retention,2.772233272758061,0.2882536272903411,0.2875221639840156,0.2890095929641948
simclr_z,InfoNCE critic space z,coarse_retention,2.803735923584857,0.29199165930272214,0.2912544488908099,0.2927557211452737
simclr_z,InfoNCE critic space z,coarse_retention,2.8352385744116533,0.2957296913151032,0.29498673379760426,0.2965018493263526
simclr_z,InfoNCE critic space z,coarse_retention,2.8667412252384494,0.29946772332748417,0.2987190187043986,0.30024797750743154
simclr_z,InfoNCE critic space z,coarse_retention,2.8982438760652456,0.30320575533986527,0.30245130361119293,0.3039941056885105
simclr_z,InfoNCE critic space z,coarse_retention,2.9297465268920417,0.30694378735224626,0.3061835885179872,0.3077402338695894
simclr_z,InfoNCE critic space z,coarse_retention,2.961249177718838,0.3106818193646273,0.30991587342478155,0.3114863620506683
simclr_z,InfoNCE critic space z,coarse_retention,2.992751828545634,0.31441985137700834,0.31364815833157594,0.3152324902317472
simclr_z,InfoNCE critic space z,coarse_retention,3.0242544793724297,0.31815788338938933,0.31738044323837017,0.31897861841282615
simclr_z,InfoNCE critic space z,coarse_retention,3.055757130199226,0.3218959154017703,0.3211127281451645,0.322724746593905
simclr_z,InfoNCE critic space z,coarse_retention,3.087259781026022,0.3256339474141514,0.32484501305195884,0.32647087477498393
simclr_z,InfoNCE critic space z,coarse_retention,3.118762431852818,0.3293719794265324,0.32857729795875323,0.3302170029560628
simclr_z,InfoNCE critic space z,coarse_retention,3.1502650826796144,0.3331100114389135,0.3323095828655475,0.3339631311371418
simclr_z,InfoNCE critic space z,coarse_retention,3.1817677335064105,0.33760682539017245,0.33686967434242504,0.33854110736662274
simclr_z,InfoNCE critic space z,coarse_retention,3.2132703843332067,0.34227532473794964,0.3415371755719513,0.34321100329408255
simclr_z,InfoNCE critic space z,coarse_retention,3.244773035160003,0.3469438240857269,0.34620467680147754,0.3478808992215423
simclr_z,InfoNCE critic space z,coarse_retention,3.276275685986799,0.3516123234335041,0.35087217803100385,0.3525507951490021
simclr_z,InfoNCE critic space z,coarse_retention,3.307778336813595,0.35628082278128137,0.3555396792605301,0.3572206910764619
simclr_z,InfoNCE critic space z,coarse_retention,3.3392809876403913,0.36094932212905856,0.3602071804900564,0.3618905870039217
simclr_z,InfoNCE critic space z,coarse_retention,3.3707836384671874,0.3656178214768358,0.36487468171958265,0.36656048293138144
simclr_z,InfoNCE critic space z,coarse_retention,3.4022862892939836,0.37028632082461305,0.36954218294910895,0.37123037885884125
simclr_z,InfoNCE critic space z,coarse_retention,3.4337889401207797,0.37495482017239024,0.3742096841786352,0.375900274786301
simclr_z,InfoNCE critic space z,coarse_retention,3.465291590947576,0.3796233195201675,0.3788771854081615,0.3805701707137608
simclr_z,InfoNCE critic space z,coarse_retention,3.496794241774372,0.3842918188679447,0.3835446866376878,0.38524006664122057
