variant,label,mode,K,requested_checkpoint,checkpoint_unit,effective_batch_size,channel_row_kl_median,channel_row_kl_q10,channel_row_kl_q90,channel_row_kl_last_median,channel_row_kl_last_q10,channel_row_kl_last_q90,critic_mse_mod_gauge_median,critic_mse_mod_gauge_q10,critic_mse_mod_gauge_q90,critic_mse_mod_gauge_last_median,critic_mse_mod_gauge_last_q10,critic_mse_mod_gauge_last_q90
cosine,cosine decay,matched,1,500,steps,512,0.010279310588810564,0.009658637200184672,0.01122667722298928,0.010279310588810564,0.009658637200184672,0.01122667722298928,0.03361282915988795,0.030083175321241353,0.04203727765896064,0.03361282915988795,0.030083175321241353,0.04203727765896064
cosine,cosine decay,matched,1,750,steps,512,0.008467466076709784,0.00793152750081772,0.008836181444550692,0.008467466076709784,0.00793152750081772,0.008836181444550692,0.02732510034286193,0.024943007383024223,0.03204393625412266,0.02732510034286193,0.024943007383024223,0.03204393625412266
cosine,cosine decay,matched,1,1100,steps,512,0.004811458713788651,0.004414143305479395,0.005202748691114473,0.004811458713788651,0.004414143305479395,0.005202748691114473,0.015721716123492182,0.014345912313727283,0.01804753239385675,0.015721716123492182,0.014345912313727283,0.01804753239385675
cosine,cosine decay,matched,1,1450,steps,512,0.002448711537301567,0.002245907494697224,0.002622585856878966,0.002448711537301567,0.002245907494697224,0.002622585856878966,0.008776992105206563,0.007535825390549086,0.011013281387153597,0.008776992105206563,0.007535825390549086,0.011013281387153597
cosine,cosine decay,matched,1,1800,steps,512,0.0015402626773439506,0.0014342456972950897,0.0017073414721138858,0.0015402626773439506,0.0014342456972950897,0.0017073414721138858,0.006289033637669712,0.005344365803395244,0.008249183925592709,0.006289033637669712,0.005344365803395244,0.008249183925592709
cosine,cosine decay,matched,4,50,steps,512,0.026976520176003185,0.024190511214184078,0.035065764433273784,0.026976520176003185,0.024190511214184078,0.035065764433273784,0.19684756422639244,0.13445832170575747,0.26819392823506716,0.19684756422639244,0.13445832170575747,0.26819392823506716
cosine,cosine decay,matched,4,100,steps,512,0.011654070282391215,0.010655731938668643,0.01230178397778772,0.011654070282391215,0.010655731938668643,0.01230178397778772,0.09666038239976071,0.06309829518732904,0.12700233031842612,0.09666038239976071,0.06309829518732904,0.12700233031842612
cosine,cosine decay,matched,4,180,steps,512,0.008868376182833301,0.008341289138216003,0.009884034662983513,0.008868376182833301,0.008341289138216003,0.009884034662983513,0.05233666957385928,0.03513804023258361,0.06920109281300664,0.05233666957385928,0.03513804023258361,0.06920109281300664
cosine,cosine decay,matched,4,300,steps,512,0.00853928409368801,0.007805711784853518,0.009004409138251781,0.00853928409368801,0.007805711784853518,0.009004409138251781,0.03608944277298002,0.027223582780203804,0.04280224265496038,0.03608944277298002,0.027223582780203804,0.04280224265496038
cosine,cosine decay,matched,4,500,steps,512,0.007833152964903903,0.006858428711662891,0.008267165138045894,0.007833152964903903,0.006858428711662891,0.008267165138045894,0.027703321268595822,0.024733976288712444,0.03262559385076982,0.027703321268595822,0.024733976288712444,0.03262559385076982
cosine,cosine decay,matched,4,750,steps,512,0.005894242045314971,0.0051642061257064645,0.006243517463263424,0.005894242045314971,0.0051642061257064645,0.006243517463263424,0.020125647417999323,0.01770351378686893,0.022422005265185983,0.020125647417999323,0.01770351378686893,0.022422005265185983
